restaurantname;pricerange;area;food;phone;addr;postcode;length_of_stay;food_quality;crowdedness
taj tandoori;expensive;south;portuguese;01223 412299;64 cherry hinton road cherry hinton;c.b 1;short;good;moderate
tandoori palace;moderate;north;indian;01223 506055;68 histon road chesterton;c.b 4;medium;ok;moderate
yippee noodle bar;moderate;centre;asian oriental;01223 518111;40428 king street city centre;c.b 1;medium;good;busy
travellers rest;expensive;west;british;01223 276182;huntingdon road city centre;;short;ok;empty
maharajah tandoori restaurant;expensive;east;indian;01223 358399;41518 castle street city centre;c.b 3;short;very good;busy
shanghai family restaurant;moderate;east;chinese;01223 301761;39 burleigh street city centre;;long;ok;moderate
curry prince;expensive;east;indian;01223 566388;451 newmarket road fen ditton;c.b 5;long;very good;empty
the gandhi;cheap;centre;indian;01223 353942;72 regent street city centre;;short;good;moderate
kymmoy;expensive;centre;asian oriental;01223 311911;52 mill road city centre;c.b 1;short;ok;overcrowded
golden house;cheap;centre;polynesian;01842 753771;12 lensfield road city centre;;medium;bad;overcrowded
bedouin;expensive;centre;african;01223 367660;100 mill road city centre;c.b 1;short;good;overcrowded
pipasha restaurant;expensive;east;indian;01223 577786;newmarket road fen ditton;c.b 5;medium;very good;moderate
charlie chan;cheap;centre;chinese;01223 361763;regent street city centre;c.b 2;long;ok;overcrowded
lan hong house;moderate;centre;thai;01223 350420;12 norfolk street city centre;;short;good;moderate
la tasca;moderate;centre;spanish;01223 464630;14 -16 bridge street;c.b 2;medium;bad;empty
backstreet bistro;expensive;south;gastropub;01223 306306;2 sturton street city centre;c.b 1;short;good;overcrowded
la raza;cheap;centre;spanish;01223 464550;4 - 6 rose crescent;c.b 2;short;bad;moderate
the slug and lettuce;expensive;east;gastropub;dontcare;34 - 35 green street;c.b 2;long;bad;moderate
restaurant one seven;moderate;north;british;01223 337766;de vere university arms regent street city centre;;long;very good;moderate
fitzbillies restaurant;expensive;centre;british;01223 352500;51 trumpington street city centre;;medium;bad;empty
anatolia;moderate;centre;turkish;01223 362372;30 bridge street city centre;c.b 2;medium;ok;moderate
clowns cafe;moderate;centre;bistro;01223 355711;;c.b 1;long;bad;overcrowded
kohinoor;cheap;west;indian;01223 323639;74 mill road city centre;;medium;ok;busy
the cambridge chop house;cheap;centre;british;01223 359506;1 kings parade;;medium;very good;moderate
gourmet burger kitchen;expensive;centre;north american;01223 312598;regent street city centre;c.b 2;short;very good;busy
la mimosa;expensive;centre;mediterranean;01223 362525;thompsons lane fen ditton;c.b 5;medium;ok;empty
meze bar restaurant;expensive;centre;turkish;;196 mill road city centre;c.b 1;medium;very good;empty
the golden curry;expensive;south;australasian;01223 329432;;;short;bad;busy
curry queen;moderate;;indian;;106 mill road city centre;c.b 1;long;bad;busy
hakka;cheap;north;persian;01223 568988;milton road chesterton;c.b 4;long;bad;busy
the oak bistro;moderate;centre;british;01223 323361;6 lensfield road;;short;good;overcrowded
riverside brasserie;moderate;centre;gastropub;01223 259988;doubletree by hilton cambridge granta place mill lane;;medium;very good;empty
the copper kettle;moderate;east;british;01223 365068;4 kings parade city centre;c.b 2;short;bad;busy
zizzi cambridge;expensive;south;italian;01223 365599;47-53 regent street;;medium;ok;moderate
saffron brasserie;expensive;centre;jamaican;;;;long;good;overcrowded
india house;expensive;west;indian;01223 461661;31 newnham road newnham;;long;bad;busy
ali baba;moderate;centre;lebanese;01462 432565;59 hills road city centre;c.b 2;long;ok;moderate
rice boat;expensive;north;indian;01223 302800;37 newnham road newnham;;short;very good;busy
midsummer house restaurant;expensive;centre;british;01223 369299;midsummer common;;short;good;empty
hotel du vin and bistro;moderate;centre;european;01223 227330;15 - 19 trumpington street;c.b 2;medium;good;overcrowded
darrys cookhouse and wine shop;expensive;south;modern european;01223 505015;40270 king street city centre;c.b 1;medium;very good;busy
pizza express;cheap;centre;spanish;01223 324033;;c.b 2;medium;bad;busy
jinling noodle bar;moderate;centre;cuban;01223 566188;11 peas hill city centre;c.b 2;short;bad;overcrowded
graffiti;moderate;north;indian;01223 277977;hotel felix whitehouse lane huntingdon road;c.b 3;short;bad;empty
wagamama;expensive;centre;japanese;01223 462354;36 saint andrews street;c.b 2;medium;ok;overcrowded
pizza hut city centre;cheap;centre;italian;01223 323737;regent street city centre;;short;ok;moderate
curry king;expensive;centre;seafood;01223 324351;5 jordans yard bridge street city centre;;medium;bad;moderate
panahar;expensive;centre;mediterranean;;;;long;good;overcrowded
ugly duckling;expensive;centre;catalan;;12 st. johns street city centre;;short;bad;moderate
pizza express fen ditton;moderate;centre;european;;jesus lane fen ditton;;medium;good;overcrowded
sesame restaurant and bar;moderate;;turkish;;;;short;bad;overcrowded
hk fusion;expensive;centre;thai;;21 burleigh street city centre;c.b 1;long;ok;overcrowded
